date,equity
1966-11-22,1.0733186772299692
1967-02-17,1.127056862955443
1966-11-25,1.1308864239770458
1966-12-05,1.1453695158323676
1966-12-15,1.1653857835439958
1966-12-23,1.1605935262557057
1966-12-30,1.164002974854878
1967-01-06,1.1753672686598984
1967-01-12,1.2098155136919717
1967-01-20,1.186533862601578
1967-01-30,1.185110021966456
1967-02-02,1.2062109203155755
1967-02-08,1.2223205749771782
1967-02-16,1.2350670658172136
1967-05-19,1.268721229111276
1967-03-02,1.2540736996555442
1967-03-16,1.2603269199212332
1967-03-20,1.2632820552717516
1967-04-10,1.2196567149630337
1967-04-12,1.2276205811279206
1967-04-17,1.2365210226514889
1967-05-09,1.2334511046443755
1967-05-11,1.237609389267187
1967-05-31,1.1817901554362735
1967-08-04,1.2487799750478759
1967-06-08,1.2483735996026286
1967-06-15,1.2842336422332525
1967-06-26,1.2792980904373605
1967-07-05,1.2777629327288358
1967-07-12,1.2831782204206754
1967-07-18,1.280076824332694
1967-07-21,1.3151133692745522
1967-08-07,1.281972492301796
1967-09-29,1.267320452221505
1967-08-09,1.2731996306901798
1967-08-16,1.2749645487989298
1967-08-29,1.231233392225851
1967-09-07,1.2376993533953466
1967-09-13,1.2428924616359494
1967-09-20,1.2453559682855944
1967-09-29,1.2087861823414334
1967-10-03,1.2360903121754052
1967-12-29,1.3917358129953765
1967-10-06,1.3951675044624319
1967-10-11,1.4148478067800063
1967-10-26,1.4083541579578602
1967-11-09,1.3840298697154165
1967-11-16,1.4226804617972961
1967-11-22,1.4242252851533768
1967-12-12,1.401434978551259
1967-12-28,1.3745996306255244
1968-01-08,1.370559021271184
1968-02-09,1.325352628541991
1968-01-25,1.2918219048942798
1968-02-02,1.2772943511113712
1968-02-15,1.2414471287341384
1968-05-17,1.240453971031151
1968-03-06,1.184595239856592
1968-03-21,1.1968421321824938
1968-04-01,1.2163880282837993
1968-04-25,1.2129975794172942
1968-05-02,1.2146792276338525
1968-05-06,1.2174099277360766
1968-05-10,1.2174488331168758
1968-05-14,1.2528711468604883
1968-05-15,1.272624647884477
